Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Agriculture Development Bank,2025/26 Q4,308.80,311.42,4.80,-3.50%,1.58%,-0.06%,4.68%,0.15%,"42,784,932,947.20","19,738,231.09","19,168,096.67","20,974,502.04","9,121,508.26","2,630,641.83","572,659.22",44.99%,35.99%,0.00%,32.97%,22.37%,43.49%,27.16%,0.00%,18.80%,12.54%,6.94%,13.91%,6.96%,0.64%,1.21%,0.67%,16.11,32.30,16.11,16.11,233.99,19.16,19.16,9.56,19.16,1.31,0.00%,12.91%,90.74%,1079.86%,0.79,0.84,-1.19%,-1.69%,-10.50%,-14.75%,2.41%,0.01%,24100.00%,93.07%,41.29,3.63%,2.05%,-7.79%,-0.28
Api Power,2025/26 Q3,331.90,337.79,0.70,-0.33%,1.19%,-4.63%,18.64%,17.55%,"20,166,004,368.20","6,379,724.19","977,657.04","1,304,385.66","1,130,238.00","658,546.63",0.00,83.98%,2.33%,146.55%,115.52%,67.31%,86.05%,1.79%,95.45%,71.44%,41.67%,12.11%,12.82%,10.50%,6.63%,7.01%,5.67%,13.76,14.56,11.48,13.76,115.32,24.11,24.11,22.78,28.89,2.87,208.57%,26.42%,64.14%,185.04%,1.26,1.50,-1.73%,-2.47%,-16.58%,-23.79%,3.35%,0.29%,1155.17%,57.34%,44.49,-0.24%,8.39%,-8.87%,-0.07
Arun Kabeli Power Ltd.,2025/26 Q3,258.00,270.08,-5.90,0.43%,3.20%,-3.01%,4.96%,-2.53%,"10,051,530,618.00","3,895,942.10","133,062.77","498,284.73","447,270.46","143,780.05",0.00,80.48%,0.03%,84.50%,35.80%,-9.33%,106.28%,0.60%,111.24%,76.88%,42.38%,4.75%,-1.06%,7.17%,2.73%,-0.61%,4.34%,4.92,-1.09,7.23,4.92,103.41,52.43,52.43,-234.68,35.67,2.49,465.35%,44.57%,49.52%,171.05%,1.36,1.14,-1.94%,-2.76%,-14.30%,-20.19%,3.73%,-0.11%,-3390.91%,44.24%,47.16,-1.86%,0.00%,-16.77%,0.22
Arun Valley Hydropower Development,2025/26 Q3,268.00,280.73,-2.00,0.37%,3.04%,-3.60%,2.84%,-4.31%,"10,312,648,040.00","4,040,403.15","432,889.08","229,118.15","201,121.97","133,685.44",0.00,87.47%,2.74%,118.33%,75.10%,59.97%,87.04%,2.09%,137.49%,105.40%,78.30%,4.00%,3.01%,5.50%,3.78%,2.85%,5.19%,4.41,3.32,5.93,4.41,110.71,60.74,60.74,80.51,45.13,2.42,4286.09%,2271.17%,6.37%,105.56%,1.36,1.35,-1.87%,-2.66%,-16.76%,-23.82%,3.33%,-0.11%,-3027.27%,44.27%,47.38,-1.63%,-1.61%,-15.43%,-0.09
Asian Life Insurance,2025/26 Q3,424.80,452.07,1.80,-0.91%,1.14%,-6.47%,-3.03%,-9.40%,"21,244,924,706.40","5,001,159.20","717,318.76","10,062,267.52","1,353,167.60","347,386.58",0.00,13.54%,13.15%,5.29%,5.14%,2.38%,13.10%,5.58%,6.62%,6.48%,3.05%,7.96%,5.76%,8.23%,0.77%,0.56%,0.74%,9.26,6.70,8.43,9.26,125.01,45.86,45.86,63.36,50.34,3.71,0.00%,0.00%,89.68%,969.32%,1.00,1.22,-1.44%,-2.04%,-13.38%,-18.88%,2.60%,-0.20%,-1300.00%,60.76%,40.19,-2.69%,-1.71%,-14.87%,-0.18
Barun Hydropower,2025/26 Q3,322.70,345.25,4.70,-0.12%,3.43%,-6.73%,2.80%,-5.13%,"3,458,150,010.00","1,122,532.42","49,853.35","75,366.95","64,651.06","16,953.84",0.00,81.87%,22.86%,59.20%,6.69%,-37.21%,98.83%,10.34%,89.88%,59.65%,33.34%,1.86%,-1.56%,3.47%,1.56%,-1.31%,2.74%,2.01,-1.68,2.96,2.01,107.71,160.24,160.24,-190.96,109.00,2.99,1951.00%,1179.07%,19.63%,119.25%,1.09,0.88,-1.76%,-2.52%,-11.92%,-17.23%,3.96%,-0.28%,-1414.29%,48.39%,45.20,-3.59%,-2.27%,-17.89%,0.00
Bishal Bazar,2022/23 Q4,"4,278.00","4,615.10",-22.00,-0.05%,4.32%,-11.13%,-11.22%,-22.58%,"171,547,800,000.00","4,010,000.00","1,161,068.96","180,120.86","170,736.40","147,361.91",-,94.79%,28.77%,111.94%,110.24%,81.81%,94.79%,28.77%,111.94%,110.24%,81.81%,5.70%,22.80%,7.23%,5.31%,21.25%,6.76%,3.67,14.69,3.67,3.67,128.95,"1,164.11","1,164.11",291.03,"1,164.11",33.17,411.71%,411.71%,0.00%,107.30%,0.98,0.71,-1.92%,-2.73%,-11.51%,-16.07%,3.25%,-0.51%,-637.25%,44.37%,50.41,-7.11%,-9.16%,-23.45%,-0.03
Bottlers Nepal (Balaju),2025/26 Q3,"14,500.00","15,061.75",0.00,-1.36%,1.39%,-4.59%,-10.77%,-15.70%,"28,258,861,500.00","194,889.00","6,230,926.00","7,744,894.00","2,227,365.00","219,949.00",0.00,32.13%,22.38%,9.75%,9.75%,6.43%,26.97%,18.77%,15.97%,15.97%,-1.69%,4.63%,11.92%,-3.07%,2.19%,5.62%,-1.41%,150.47,387.25,-100.89,150.47,"3,297.16",96.35,96.35,37.44,-143.71,4.39,110.91%,68.63%,55.27%,223.57%,0.22,0.06,-2.01%,-2.88%,-30.39%,-44.54%,2.68%,-0.36%,-744.44%,64.69%,46.58,2.63%,-7.72%,-16.67%,1.17
Bottlers Nepal (Terai),2025/26 Q3,"11,610.00","11,710.15",0.00,-0.09%,0.52%,-2.44%,-1.61%,-8.22%,"14,048,100,000.00","121,000.00","3,675,804.00","5,651,476.00","1,648,168.00","277,051.00",0.00,28.65%,19.47%,9.18%,9.18%,6.36%,25.50%,18.28%,17.50%,17.50%,-4.91%,9.91%,15.19%,-10.81%,4.15%,6.36%,-4.45%,305.29,467.95,-339.89,305.29,"3,137.85",38.02,38.02,24.80,-34.15,3.69,90.20%,46.93%,60.11%,250.68%,0.72,0.53,-1.90%,-2.70%,-8.90%,-12.72%,2.27%,-0.15%,-1513.33%,48.95%,50.40,3.90%,-0.04%,-8.22%,-0.92
Butwal Power,2025/26 Q3,653.00,689.13,8.00,0.46%,0.46%,-3.62%,-12.36%,-27.02%,"22,261,191,838.00","3,409,065.00","3,914,844.00","622,704.00","315,933.00","299,317.00",0.00,36.45%,39.40%,60.88%,60.88%,46.60%,46.10%,19.30%,50.71%,50.71%,39.51%,5.47%,4.06%,4.33%,5.44%,4.03%,4.30%,11.70,8.67,9.24,11.70,214.83,55.77,55.77,75.27,70.63,3.03,1263.40%,227.00%,6.88%,100.52%,1.19,1.14,-1.88%,-2.68%,-17.07%,-24.55%,4.17%,-0.57%,-731.58%,40.25%,45.67,0.13%,-5.98%,-27.02%,-0.85
Central Finance,2025/26 Q3,675.00,568.77,29.00,2.26%,9.93%,37.20%,43.62%,27.36%,"6,404,910,300.00","948,875.45","138,743.04","481,029.84","164,584.15","36,938.26","14,225.77",38.14%,22.83%,0.00%,-1.98%,-1.38%,35.17%,26.87%,0.00%,23.53%,16.45%,4.55%,-0.83%,10.23%,0.50%,-0.09%,1.19%,5.19,-0.94,11.49,5.19,114.62,130.04,130.04,-710.69,58.70,5.88,0.00%,60.38%,89.07%,914.57%,1.68,1.52,-2.45%,-3.50%,-17.31%,-24.73%,4.63%,0.46%,1006.52%,35.11%,66.33,37.30%,16.37%,-0.74%,3.87
Chhimek Laghubitta Bikas Bank,2025/26 Q3,929.90,923.16,4.40,0.18%,1.96%,2.02%,-0.23%,-0.55%,"29,899,501,524.10","3,617,264.10","5,133,860.64","4,910,866.13","2,203,023.13","906,476.53",0.00,44.66%,23.60%,0.00%,27.89%,19.86%,45.24%,23.72%,0.00%,27.08%,19.36%,14.05%,15.36%,15.07%,2.16%,2.36%,2.37%,33.41,36.53,34.99,33.41,241.92,27.83,27.83,25.45,26.57,3.84,1.05%,26.55%,84.69%,653.34%,0.87,0.83,-1.33%,-1.88%,-9.25%,-13.16%,2.65%,-0.03%,-8833.33%,46.84%,52.97,5.41%,0.93%,-4.69%,-0.84
Chhyangdi Hydropower Ltd.,2025/26 Q3,270.00,286.06,4.00,2.27%,5.47%,-7.38%,5.18%,-10.86%,"2,089,678,500.00","773,955.00","-188,343.45","139,439.13","113,211.18","18,885.66",0.00,66.29%,6.88%,59.43%,21.03%,-14.36%,81.84%,9.20%,72.64%,44.96%,5.32%,3.81%,-2.69%,1.96%,1.92%,-1.36%,0.80%,3.25,-2.29,1.21,3.25,85.09,82.98,82.98,-117.71,222.81,3.17,221.60%,216.62%,52.48%,196.91%,1.23,0.97,-1.94%,-2.76%,-13.28%,-18.83%,5.21%,-0.30%,-1736.67%,31.23%,51.79,-5.04%,-1.14%,-17.18%,1.71
Chilime Hydropower,2025/26 Q3,492.00,485.79,-2.00,-0.61%,3.14%,3.45%,4.46%,1.10%,"43,209,395,208.00","9,484,988.68","1,992,273.37","823,664.77","669,997.57","456,995.10",0.00,96.30%,31.44%,71.22%,55.57%,31.50%,79.39%,9.68%,71.60%,62.74%,55.95%,5.31%,2.06%,5.48%,5.17%,2.00%,5.34%,6.42,2.48,6.62,6.42,121.00,76.58,76.58,197.95,74.22,4.06,7486.90%,2128.67%,3.75%,102.71%,0.95,1.05,-1.37%,-1.94%,-11.51%,-16.47%,2.41%,0.02%,12050.00%,60.31%,54.05,7.35%,2.55%,-4.28%,-0.03
Citizen Bank International,2025/26 Q3,202.00,204.39,-3.00,-1.89%,3.32%,-0.93%,1.61%,-3.76%,"29,833,406,462.00","15,507,463.61","8,682,316.22","11,273,333.93","4,678,859.98","1,306,461.34","-505,307.33",43.23%,26.46%,0.00%,37.90%,26.70%,40.75%,21.77%,0.00%,16.29%,10.60%,7.35%,15.99%,7.09%,0.70%,1.53%,0.67%,11.23,24.44,10.56,11.23,155.98,17.98,17.98,8.26,19.12,1.29,0.00%,11.75%,90.27%,1027.65%,0.97,0.94,-1.41%,-2.00%,-11.75%,-16.42%,3.09%,-0.11%,-2809.09%,71.99%,47.26,2.01%,0.21%,-14.04%,-0.25
Citizen Investment Trust,2025/26 Q3,"1,710.00","1,759.48",-1.00,-0.35%,1.60%,-3.23%,-1.73%,-8.03%,"110,837,285,460.00","6,805,798.00","12,680,193.00","1,640,775.00","1,576,186.00","986,058.00",0.00,88.70%,0.00%,74.94%,74.94%,56.13%,87.97%,0.00%,80.97%,80.97%,60.68%,6.82%,6.65%,5.71%,0.40%,0.39%,0.42%,19.31,18.85,19.69,19.31,286.31,88.51,88.51,90.71,86.81,5.97,1326.64%,1326.64%,94.11%,1696.54%,0.83,0.93,-1.17%,-1.66%,-9.98%,-14.11%,2.06%,-0.17%,-1211.76%,53.48%,48.14,1.04%,-2.31%,-9.43%,1.24
Himalayan Laghubitta Bittiya Sanstha Limited,2025/26 Q4,880.00,901.30,10.00,0.00%,1.27%,-1.12%,0.95%,-10.86%,"2,814,400,160.00","341,086.03","291,724.00","711,423.94","442,191.02","106,610.03",0.00,65.46%,55.35%,0.00%,19.35%,13.55%,62.16%,48.19%,0.00%,21.39%,14.99%,17.20%,16.49%,18.35%,1.79%,1.72%,1.81%,31.25,29.96,31.25,31.25,185.52,28.15,28.15,29.36,28.15,4.74,6.02%,84.91%,89.71%,971.38%,1.11,0.93,-2.20%,-3.11%,-18.12%,-25.70%,2.52%,-0.23%,-1095.65%,46.36%,48.10,1.68%,-0.91%,-11.47%,-0.16
Deprosc Laghubitta,2025/26 Q3,835.00,845.17,5.00,0.00%,1.94%,-1.42%,4.37%,0.32%,"15,600,188,100.00","2,055,114.26","2,307,124.44","2,700,875.20","1,584,308.54","680,132.17",0.00,59.18%,25.31%,0.00%,40.82%,26.83%,55.75%,21.21%,0.00%,40.84%,27.15%,21.35%,22.34%,23.27%,3.30%,3.45%,3.46%,44.12,46.17,45.69,44.12,212.26,18.92,18.92,18.08,18.27,3.93,-2.17%,18.32%,84.93%,663.49%,1.02,0.95,-1.54%,-2.18%,-10.84%,-15.29%,2.12%,-0.01%,-21200.00%,49.81%,48.43,1.41%,1.78%,-8.73%,-0.92
Dibyashwori Hydropower Ltd.,2025/26 Q4,293.00,301.90,-14.60,-0.78%,6.20%,-1.61%,0.48%,-8.77%,"773,520,000.00","264,000.00","-241,875.77","104,418.84","99,202.39","14,555.04",0.00,95.65%,9.51%,86.14%,58.28%,28.44%,95.00%,10.32%,84.69%,52.73%,13.94%,82.05%,197.77%,88.27%,2.45%,5.90%,2.41%,5.51,13.28,5.51,5.51,8.38,53.14,53.14,22.04,53.14,34.96,23.05%,23.05%,122.94%,2691.82%,1.56,1.13,-2.42%,-3.45%,-15.40%,-21.73%,3.55%,-0.17%,-2088.24%,56.82%,51.11,1.07%,-2.44%,-13.82%,0.41
Everest Bank,2025/26 Q4,725.00,700.70,-5.00,0.14%,4.02%,3.13%,11.20%,11.03%,"93,849,034,400.00","13,721,376.00","21,470,507.00","20,102,585.00","9,190,459.00","5,069,936.00","2,953,657.00",46.34%,15.44%,0.00%,48.78%,34.22%,45.72%,18.91%,0.00%,36.73%,25.22%,14.76%,20.27%,15.26%,1.33%,1.83%,1.35%,36.94,50.74,36.94,36.94,256.47,19.62,19.62,14.28,19.62,2.82,0.00%,20.12%,90.83%,1090.47%,0.73,0.79,-1.09%,-1.55%,-8.52%,-12.44%,1.99%,0.20%,995.00%,51.20%,60.97,7.35%,4.02%,-0.68%,0.51
Excel Development Bank,2025/26 Q4,587.90,583.98,-6.10,2.42%,4.80%,2.24%,1.91%,-7.50%,"7,346,953,965.50","1,249,694.47","972,925.90","1,213,900.10","648,818.32","309,400.74","192,323.67",64.15%,35.77%,0.00%,83.42%,42.26%,53.45%,30.94%,0.00%,44.45%,25.49%,13.68%,27.19%,14.35%,1.49%,2.96%,1.56%,24.75,49.19,24.75,24.75,177.85,23.74,23.74,11.95,23.74,3.30,0.00%,15.24%,89.58%,959.66%,1.19,1.14,-2.03%,-2.89%,-14.29%,-20.20%,3.28%,-0.17%,-1929.41%,21.76%,59.49,4.88%,-2.42%,-11.99%,1.51
First Micro Finance Development Bank,2025/26 Q4,758.00,798.23,-1.00,0.00%,-0.26%,-4.76%,-1.57%,-17.64%,"10,194,125,212.00","1,344,871.32","501,037.09","404,702.25","227,491.72","190,728.21",0.00,62.15%,-52.76%,0.00%,116.33%,81.22%,56.21%,-10.72%,0.00%,67.40%,47.13%,10.55%,17.04%,10.73%,3.33%,5.37%,3.18%,14.18,22.90,14.18,14.18,137.25,53.44,53.44,33.09,53.44,5.52,-55.72%,0.00%,67.59%,308.51%,1.36,1.23,-2.08%,-2.96%,-13.16%,-18.78%,4.24%,-0.36%,-1177.78%,46.62%,45.20,-12.86%,-3.79%,-22.10%,-1.29
Forward Community Microfinance Bittiya Sanstha Ltd.,2025/26 Q3,927.10,"1,057.14",-7.90,-2.62%,-3.43%,-11.70%,-14.48%,-24.60%,"11,087,688,606.90","1,195,953.71","1,669,611.26","2,155,789.63","1,084,474.49","162,835.70",0.00,50.84%,66.30%,0.00%,-5.68%,-3.95%,46.20%,48.24%,0.00%,6.29%,7.05%,7.66%,-4.01%,6.42%,0.94%,-0.49%,0.85%,18.15,-9.49,16.05,18.15,239.60,51.06,51.06,-97.60,57.75,3.86,8.52%,15.10%,87.62%,807.57%,0.92,0.72,-1.63%,-2.31%,-11.78%,-16.42%,2.51%,-0.55%,-456.36%,79.86%,34.64,-10.91%,-7.20%,-28.68%,-3.79
Garima Bikas Bank,2025/26 Q4,421.00,412.13,2.70,0.48%,5.65%,1.45%,9.92%,4.43%,"23,914,978,675.00","6,021,348.36","4,651,893.66","7,505,139.45","3,815,635.15","1,688,666.31","1,216,906.21",53.20%,19.31%,0.00%,55.97%,33.54%,50.84%,22.89%,0.00%,34.38%,22.50%,16.27%,24.68%,17.18%,1.53%,2.31%,1.58%,28.04,42.54,28.04,28.04,177.25,15.01,15.01,9.89,15.01,2.37,0.00%,7.13%,90.56%,1059.11%,1.17,0.93,-1.51%,-2.16%,-9.55%,-13.58%,2.44%,0.06%,4066.67%,43.17%,58.33,4.90%,2.36%,-4.32%,0.06
Best Finance,2025/26 Q3,502.00,487.01,-11.90,-1.53%,-4.02%,10.33%,10.04%,-3.91%,"4,469,929,484.00","890,424.23","113,284.23","364,635.38","103,609.61","58,755.95","69,593.91",29.09%,49.00%,0.00%,52.09%,37.06%,32.09%,35.38%,0.00%,27.57%,25.44%,8.00%,16.85%,13.30%,1.06%,2.24%,1.90%,8.79,18.53,15.27,8.79,112.72,57.05,57.05,27.07,32.85,4.45,0.00%,48.27%,86.53%,742.37%,1.55,1.19,-2.31%,-3.29%,-14.51%,-20.63%,3.80%,-0.09%,-4222.22%,64.86%,42.94,11.92%,6.37%,-7.00%,-3.72
Global Ime Bank,2025/26 Q4,252.30,239.48,-13.50,-1.45%,4.26%,7.36%,11.15%,2.44%,"96,166,296,362.10","38,115,853.00","31,690,411.00","40,302,472.00","16,203,053.00","6,227,157.00","3,575,454.00",41.19%,18.02%,0.00%,26.49%,17.42%,40.20%,18.51%,0.00%,21.54%,15.45%,9.03%,10.60%,9.14%,0.78%,0.92%,0.83%,16.33,19.16,16.33,16.33,183.14,15.44,15.44,13.16,15.44,1.37,0.00%,17.80%,91.50%,1175.78%,0.76,0.84,-1.24%,-1.76%,-10.09%,-14.22%,2.62%,0.04%,6550.00%,71.65%,53.85,10.71%,3.81%,-3.78%,0.03
Goodwill Finance,2025/26 Q3,603.00,637.14,-1.00,-1.47%,-0.99%,-1.95%,2.20%,-10.63%,"5,705,074,656.00","946,115.20","1,014,015.91","858,862.61","312,108.35","101,336.49","13,782.50",3.96%,25.39%,0.00%,-32.59%,-5.78%,30.29%,22.14%,0.00%,7.83%,8.42%,6.16%,-1.89%,4.54%,0.79%,-0.24%,0.58%,14.28,-4.38,9.64,14.28,207.17,42.22,42.22,-137.50,62.53,2.91,0.00%,58.16%,89.04%,912.03%,1.56,1.73,-2.44%,-3.48%,-20.19%,-28.66%,4.28%,-0.24%,-1783.33%,61.40%,41.02,0.68%,0.22%,-16.48%,-0.38
Green Development Bank Ltd.,2025/26 Q3,"1,047.80","1,075.63",-2.20,-1.43%,2.21%,1.14%,-8.39%,-9.84%,"5,969,300,883.00","615,500.00","103,396.95","371,751.70","167,005.74","35,240.10","21,338.15",52.27%,25.73%,0.00%,28.93%,20.25%,44.53%,22.61%,0.00%,22.64%,15.90%,6.65%,13.72%,12.17%,0.68%,1.41%,1.19%,7.63,15.75,13.54,7.63,116.79,137.25,137.25,66.52,77.36,8.97,0.00%,13.11%,89.45%,948.19%,1.57,1.29,-2.83%,-4.06%,-15.82%,-23.29%,4.72%,-0.19%,-2484.21%,60.44%,45.01,3.61%,-0.24%,-17.49%,1.07
Guheshowori Merchant Bank & Finance,2025/26 Q3,455.30,473.50,-16.70,-0.81%,0.22%,0.07%,0.53%,-8.61%,"4,608,437,328.00","1,012,176.00","692,151.00","487,969.00","175,104.00","45,567.00",-275.00,42.46%,23.35%,0.00%,24.79%,17.78%,32.13%,23.67%,0.00%,10.20%,6.33%,3.60%,6.82%,2.54%,0.60%,1.14%,0.41%,6.00,11.34,4.05,6.00,168.38,75.85,75.85,40.11,112.31,2.70,0.00%,56.61%,83.21%,595.43%,1.60,1.49,-2.38%,-3.39%,-16.31%,-23.14%,3.81%,-0.18%,-2116.67%,56.57%,41.65,1.12%,0.50%,-15.37%,0.00
Gurkhas Finance Ltd.,2025/26 Q3,575.90,551.75,14.90,0.16%,5.86%,10.86%,15.18%,2.86%,"4,998,775,718.30","867,993.80","502,359.68","515,893.45","218,555.93","129,474.70","120,127.58",56.78%,31.37%,0.00%,50.28%,33.66%,38.13%,37.47%,0.00%,25.84%,9.26%,12.98%,20.39%,5.06%,1.60%,2.52%,0.60%,19.88,31.25,7.40,19.88,157.87,28.95,28.95,18.42,77.78,3.64,0.00%,48.84%,87.27%,785.33%,1.42,0.96,-2.49%,-3.53%,-17.75%,-24.76%,4.27%,0.04%,10675.00%,48.88%,57.35,11.72%,4.07%,-7.10%,0.30
Himalayan Bank,2025/26 Q3,194.90,202.52,7.40,-2.06%,0.46%,-4.32%,2.31%,-14.86%,"42,208,744,194.20","22,581,662.53","16,250,565.09","17,282,439.37","6,832,100.61","762,536.31","-1,613,619.56",38.93%,20.56%,0.00%,-12.75%,-9.69%,39.78%,20.57%,0.00%,11.60%,7.40%,2.60%,-5.43%,4.59%,0.25%,-0.53%,0.46%,4.50,-9.39,7.86,4.50,171.96,43.28,43.28,-20.75,24.79,1.13,0.00%,27.40%,90.46%,1047.85%,0.93,1.06,-1.45%,-2.04%,-12.41%,-17.25%,3.30%,-0.31%,-1064.52%,70.41%,42.94,-1.64%,-0.34%,-16.78%,-0.60
Himalayan Distillery,2025/26 Q3,"1,167.00","1,163.83",-7.00,0.50%,2.01%,0.86%,0.94%,4.86%,"35,866,599,006.00","3,688,082.17","1,172,791.12","3,136,253.70","2,234,824.83","851,305.52",0.00,74.64%,32.45%,42.19%,40.31%,29.88%,69.85%,32.30%,17.80%,15.66%,26.16%,24.36%,34.59%,24.54%,20.64%,29.31%,21.06%,30.77,43.70,28.88,30.77,131.79,37.91,37.91,26.70,40.40,8.85,513.80%,433.99%,16.63%,119.95%,1.04,0.99,-1.63%,-2.31%,-12.79%,-17.97%,2.44%,0.04%,6100.00%,42.52%,53.34,3.97%,0.14%,-8.11%,-0.23
Himalayan Power Partner Ltd.,2025/26 Q3,388.00,400.95,2.90,0.00%,6.27%,4.30%,13.65%,5.24%,"4,133,817,960.00","1,065,417.00","296,118.48","548,403.76","508,768.63","125,959.37",0.00,92.21%,4.53%,87.68%,47.59%,12.59%,91.23%,2.60%,88.92%,55.27%,19.18%,12.42%,5.59%,10.88%,3.37%,1.52%,2.73%,15.76,7.09,13.21,10.50,127.79,36.92,24.61,54.66,29.36,3.03,98.95%,89.77%,81.42%,365.96%,1.27,1.16,-2.28%,-3.24%,-15.61%,-22.11%,4.34%,0.09%,4822.22%,50.83%,60.30,6.02%,1.47%,-8.56%,1.53
ICFC Finance,2025/26 Q4,605.00,633.08,-1.10,-1.31%,0.00%,-2.72%,-3.51%,-6.53%,"7,159,999,550.00","1,183,470.96","1,057,107.68","1,803,299.71","645,421.02","264,224.94","109,808.37",40.62%,18.97%,0.00%,47.88%,34.04%,35.79%,20.16%,0.00%,20.80%,14.65%,12.20%,29.76%,12.34%,1.02%,2.48%,1.06%,22.32,54.45,22.32,22.32,189.32,27.09,27.09,11.11,27.09,3.19,0.00%,29.13%,91.44%,1168.78%,1.52,1.37,-2.27%,-3.23%,-15.30%,-21.63%,2.57%,-0.21%,-1223.81%,66.57%,44.48,-0.08%,-2.39%,-13.93%,-0.04
Hydroelectricity Investment and Development Company,2025/26 Q3,254.60,267.79,-4.40,-1.32%,2.58%,-4.75%,-1.66%,-10.35%,"62,529,284,916.40","24,928,211.00","3,142,283.00","788,442.00","771,754.00","546,985.00",0.00,92.69%,0.00%,92.83%,92.83%,63.38%,94.75%,0.00%,97.67%,97.67%,67.68%,2.60%,2.07%,2.71%,2.53%,2.01%,2.65%,2.92,2.32,3.05,2.92,112.60,87.02,87.02,109.62,83.21,2.26,3647.70%,3647.70%,2.58%,102.65%,1.49,1.59,-2.00%,-2.84%,-17.78%,-25.08%,3.59%,-0.23%,-1560.87%,62.04%,42.71,-2.42%,-2.37%,-15.42%,-0.46
Janaki Finance,2025/26 Q3,391.00,415.47,-0.10,-0.51%,1.53%,-3.93%,-4.82%,-21.59%,"2,699,748,648.00","690,472.80","-735,059.94","212,806.84","70,067.49","-29,089.55","-29,089.55",23.97%,20.42%,0.00%,-12.10%,-12.10%,28.22%,45.05%,0.00%,-37.35%,-37.35%,94.06%,65.05%,-275.52%,-0.84%,-0.58%,-2.18%,-5.61,-3.88,-15.64,-5.61,-6.45,-69.60,-69.60,-100.64,-24.98,-60.54,0.00%,38.69%,100.97%,-10312.90%,1.48,1.17,-2.60%,-3.68%,-18.88%,-26.65%,3.50%,-0.48%,-729.17%,50.34%,44.35,-1.12%,-4.91%,-22.12%,-0.09
Janautthan Samudayic Laghubitta Bikas Bank,2025/26 Q3,990.00,"1,093.44",-10.00,-0.90%,-1.00%,-9.17%,-15.96%,-28.52%,"1,683,909,810.00","170,091.90","120,619.04","195,483.94","97,081.62","10,318.52",0.00,51.54%,60.79%,0.00%,0.65%,0.46%,54.66%,47.85%,0.00%,14.59%,11.19%,4.73%,0.39%,12.16%,0.59%,0.05%,1.43%,8.08,0.67,19.73,8.08,170.91,122.39,122.39,"1,472.24",50.17,5.79,2.92%,14.00%,87.38%,792.11%,1.02,0.79,-2.06%,-2.90%,-14.10%,-19.46%,2.97%,-0.65%,-456.92%,53.35%,42.16,-6.95%,-8.37%,-28.79%,0.04
Jyoti Bikas Bank,2025/26 Q3,343.00,354.21,-7.10,-0.72%,2.39%,-3.22%,6.39%,-4.57%,"15,077,545,980.00","4,395,785.88","2,788,302.19","3,691,061.25","1,596,533.95","629,462.40","564,650.34",46.04%,26.61%,0.00%,37.22%,26.05%,41.82%,21.47%,0.00%,9.50%,6.65%,11.99%,18.18%,4.96%,1.12%,1.69%,0.46%,19.09,28.95,7.62,19.09,163.43,17.96,17.96,11.84,44.97,2.09,0.00%,12.36%,90.60%,1063.43%,1.44,1.07,-1.88%,-2.67%,-11.55%,-16.20%,3.23%,-0.11%,-2936.36%,57.61%,46.37,-1.63%,1.45%,-12.28%,-0.59
Kalika Laghubitta Bittiya Sanstha,2025/26 Q3,760.20,873.88,2.60,-2.48%,-3.77%,-12.22%,-25.23%,-22.53%,"3,099,278,385.00","448,461.53","246,454.77","535,894.15","332,339.51","14,714.34",0.00,63.73%,110.15%,0.00%,-34.76%,-24.33%,61.87%,59.86%,0.00%,10.86%,7.61%,2.74%,-24.44%,7.41%,0.36%,-3.21%,1.04%,4.37,-39.05,12.21,4.37,154.95,173.76,173.76,-19.46,62.23,4.90,20.15%,21.51%,87.44%,796.26%,0.99,0.89,-1.97%,-2.81%,-13.66%,-19.37%,3.84%,-0.54%,-711.11%,69.60%,38.06,-8.86%,-9.47%,-26.78%,0.12
